"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit"
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde"
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable"
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable"
"CONSOLIDATION";"Consolidation";"N";"Non consolidé"
"CONSOLIDATION";"Consolidation";"C";"Consolidé"
"CONSOLIDATION";"Consolidation";"P";"Partiellement consolidé ou agrégat contenant à la fois des valeurs consolidées et non consolidées"
"CONSOLIDATION";"Consolidation";"CI";"Consolidant"
"CONSOLIDATION";"Consolidation";"CC";"Données consolidées intra et inter"
"CONSOLIDATION";"Consolidation";"FC_INTRA";"FC_INTRA"
"CONSOLIDATION";"Consolidation";"FC_INTRA_INTER";"FC_INTRA_INTER"
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde"
"COUNTERPART_AREA";"Zone de contrepartie";"W1";"Reste du monde"
"COUNTERPART_AREA";"Zone de contrepartie";"W08";"Intérieur vis-à-vis du monde plus reste du monde vis-à-vis de l'intérieur"
"COUNTERPART_AREA";"Zone de contrepartie";"B01";"Pays de l’Union Européenne participant au mécanisme de surveillance unique"
"COUNTERPART_AREA";"Zone de contrepartie";"I9";"Pays membres de la Zone Euro (composition fixe, au 1er janvier 2023)"
"COUNTERPART_AREA";"Zone de contrepartie";"K11";"Pays membres de l’Union Européenne et hors de la Zone Euro (composition fixe, au 1er janvier 2023)"
"COUNTERPART_AREA";"Zone de contrepartie";"D6";"Pays hors pays membres de l’Union Européenne (composition fixe, au 31 janvier 2020,  post brexit)"
"COUNTERPART_AREA";"Zone de contrepartie";"W2";"Territoire national"
"COUNTERPART_AREA";"Zone de contrepartie";"4Y";"Institutions de l’Union Européenne"
"COUNTERPART_AREA";"Zone de contrepartie";"B6";"Pays membres de l’Union Européenne (composition fixe, au 31 janvier 2020, post brexit)"
"COUNTERPART_AREA";"Zone de contrepartie";"J9";"Pays hors pays membres de la Zone Euro (composition fixe, au 1er janvier 2023)"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1";"Économie totale"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S212";"Institutions de l’Union Européenne"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S2";"Reste du monde"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1312";"Administration d’états fédérés (à l’exclusion de la sécurité sociale)"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1313";"Administrations locales (à l’exclusion de la sécurité sociale)"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1314";"Administrations de sécurité sociale"
"COUNTERPART_SECTOR";"Secteur institutionnel de contrepartie";"S1311";"Administration centrale (à l’exclusion de la sécurité sociale)"
"DECIMALS";"Décimales";"1";"Un"
"DECIMALS";"Décimales";"3";"Trois"
"DECIMALS";"Décimales";"0";"Zéro"
"FREQ";"Fréquence";"A";"Annuel"
"INSTR_ASSET";"Classe d'actifs passifs";"_Z";"Total"
"INSTR_ASSET";"Classe d'actifs passifs";"F";"Total"
"INSTR_ASSET";"Classe d'actifs passifs";"F2";"Numéraire et dépôts"
"INSTR_ASSET";"Classe d'actifs passifs";"F22";"Dépôts transférables"
"INSTR_ASSET";"Classe d'actifs passifs";"F29";"Autres dépôts"
"INSTR_ASSET";"Classe d'actifs passifs";"F3";"Titres de créance"
"INSTR_ASSET";"Classe d'actifs passifs";"F1";"Or monétaire et droits de tirage spéciaux (DTS)"
"INSTR_ASSET";"Classe d'actifs passifs";"F21";"Numéraire"
"INSTR_ASSET";"Classe d'actifs passifs";"F32";"Titres de créance à long terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F31";"Titres de créance à court terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F4";"Crédits"
"INSTR_ASSET";"Classe d'actifs passifs";"F41";"Crédits à court terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F42";"Crédits à long terme"
"INSTR_ASSET";"Classe d'actifs passifs";"F5";"Actions et parts de fonds d’investissement"
"INSTR_ASSET";"Classe d'actifs passifs";"F51";"Actions"
"INSTR_ASSET";"Classe d'actifs passifs";"F511";"Actions cotées"
"INSTR_ASSET";"Classe d'actifs passifs";"F512";"Actions non cotées"
"INSTR_ASSET";"Classe d'actifs passifs";"F519";"Autres participations "
"INSTR_ASSET";"Classe d'actifs passifs";"F52";"Parts de fonds d’investissement"
"INSTR_ASSET";"Classe d'actifs passifs";"F522";"Parts de fonds d’investissement non monétaires"
"INSTR_ASSET";"Classe d'actifs passifs";"F521";"Parts de fonds d’investissement monétaires"
"INSTR_ASSET";"Classe d'actifs passifs";"F6";"Systèmes d’assurance, de pension et de garanties standard"
"INSTR_ASSET";"Classe d'actifs passifs";"F61";"Provisions techniques d’assurance dommages"
"INSTR_ASSET";"Classe d'actifs passifs";"F7";"Produits financiers dérivés et options sur titres des salariés"
"INSTR_ASSET";"Classe d'actifs passifs";"F62";"Droits sur les assurances vie et rentes"
"INSTR_ASSET";"Classe d'actifs passifs";"F71";"Produits financiers dérivés"
"INSTR_ASSET";"Classe d'actifs passifs";"F8";"Autres comptes à recevoir / à payer"
"INSTR_ASSET";"Classe d'actifs passifs";"F66";"Réserves pour appels dans le cadre de garanties standard"
"INSTR_ASSET";"Classe d'actifs passifs";"F81";"Crédits commerciaux et avances"
"INSTR_ASSET";"Classe d'actifs passifs";"F89";"Autres comptes à recevoir / à payer, hors crédits commerciaux et avances"
"INSTR_ASSET";"Classe d'actifs passifs";"B90";"Valeur nette"
"INSTR_ASSET";"Classe d'actifs passifs";"FONDP";"Fonds propres"
"INSTR_ASSET";"Classe d'actifs passifs";"FN";"Total des actifs"
"INSTR_ASSET";"Classe d'actifs passifs";"NG";"Total des actifs non financiers (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1G";"Actifs non financiers produits (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11G";"Actifs fixes par type d’actifs (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11KG";"Constructions (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1121G";"Bâtiments non résidentiels (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N111G";"Logements (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1122G";"Autres ouvrages de génie civil (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1132G";"Équipements TIC (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N113G";"Machines et équipements (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N112G";"Autres bâtiments et ouvrages de génie civil (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1139G";"Autres machines et équipements (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1171G";"Recherche et développement (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1173G";"Logiciels et bases de données (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1131G";"Matériels de transport (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N114G";"Systèmes d’armes (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N115G";"Ressources biologiques cultivées (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N117G";"Droits de propriété intellectuelle (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1174G";"Œuvres récréatives, littéraires ou artistiques originales (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N12";"Stocks par type de stocks"
"INSTR_ASSET";"Classe d'actifs passifs";"N13";"Objets de valeur"
